Month,all fuels (utility-scale) thousand megawatthours
Oct-23,326549.4751
Nov-23,320609.8092
Dec-23,349513.4603
Jan-24,380434.4565
Feb-24,320899.1999
Mar-24,324312.6287
Apr-24,309334.5416
May-24,345809.3684
Jun-24,390102.6162
Jul-24,430456.1561
Aug-24,423536.4944
Sep-24,359609.1471
Oct-24,334119.1523
Nov-24,324140.9111
Dec-24,361284.0447
Jan-25,401502.6296
